id,key,value,type
9948014,highway,tertiary,regular
9948014,cfcc,A63,tiger
9948014,county,"Dallas, TX",tiger
9948136,oneway,yes,regular
9948136,highway,secondary_link,regular
9948136,old_ref,SH 5 (old US 75),regular
9948136,cfcc,A63,tiger
9948136,tlid,103257234,tiger
9948136,county,"Dallas, TX",tiger
9948136,source,tiger_import_dch_v0.6_20070829,tiger
9948136,reviewed,no,tiger
9948136,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9948139,highway,unclassified,regular
9948139,cfcc,A63,tiger
9948139,tlid,103257239,tiger
9948139,county,"Dallas, TX",tiger
9948139,source,tiger_import_dch_v0.6_20070829,tiger
9948139,reviewed,no,tiger
9948139,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9948251,highway,residential,regular
9948251,cfcc,A41,tiger
9948251,tlid,102916453,tiger
9948251,county,"Dallas, TX",tiger
9948251,source,tiger_import_dch_v0.6_20070829,tiger
9948251,reviewed,no,tiger
9948251,separated,no,tiger
9948251,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9948502,oneway,yes,regular
9948502,highway,secondary_link,regular
9948502,cfcc,A63,tiger
9948502,tlid,103258994,tiger
9948502,county,"Dallas, TX",tiger
9948502,source,tiger_import_dch_v0.6_20070829,tiger
9948502,reviewed,no,tiger
9948502,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9948625,highway,unclassified,regular
9948625,created_by,Potlatch 0.10b,regular
9948625,cfcc,A63,tiger
9948625,tlid,103257347,tiger
9948625,county,"Dallas, TX",tiger
9948625,source,tiger_import_dch_v0.6_20070829,tiger
9948625,reviewed,no,tiger
9948625,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9948718,highway,service,regular
9948718,service,parking_aisle,regular
9948722,highway,service,regular
9948819,highway,residential,regular
9948819,cfcc,A41,tiger
9948819,tlid,103172975,tiger
9948819,county,"Dallas, TX",tiger
9948819,source,tiger_import_dch_v0.6_20070829,tiger
9948819,reviewed,no,tiger
9948819,separated,no,tiger
9948819,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9948898,highway,service,regular
9948898,cfcc,A63,tiger
9948898,county,"Dallas, TX",tiger
9948901,highway,secondary,regular
9948901,cfcc,A63,tiger
9948901,tlid,103257246,tiger
9948901,county,"Dallas, TX",tiger
9948901,source,tiger_import_dch_v0.6_20070829,tiger
9948901,reviewed,no,tiger
9948901,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9948905,highway,service,regular
9948905,cfcc,A63,tiger
9948905,county,"Dallas, TX",tiger
9949026,name,Robin Way,regular
9949026,highway,residential,regular
9949026,cfcc,A41,tiger
9949026,county,"Dallas, TX",tiger
9949026,zip_left,75080,tiger
9949026,name_base,Robin,tiger
9949026,name_type,Way,tiger
9949026,zip_right,75080,tiger
9949154,name,Spring Meadow Lane,regular
9949154,highway,residential,regular
9949154,cfcc,A41,tiger
9949154,tlid,102896969:103213062:103213063,tiger
9949154,county,"Dallas, TX",tiger
9949154,source,tiger_import_dch_v0.6_20070829,tiger
9949154,reviewed,no,tiger
9949154,zip_left,75044,tiger
9949154,name_base,Spring Meadow,tiger
9949154,name_type,Ln,tiger
9949154,separated,no,tiger
9949154,zip_right,75044,tiger
9949158,name,Spring Meadow Lane,regular
9949158,highway,residential,regular
9949158,cfcc,A41,tiger
9949158,tlid,103165118,tiger
9949158,county,"Dallas, TX",tiger
